Abstract from facility WITHOUT CoC accreditation/All Sites/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
17,16-<17 mo,101,2,15,98.36%,73.85%,99.73%,95.85%,98.57%,76.71%,1.14%,2.96%,1.14%,3.07%
18,17-<18 mo,84,1,15,98.98%,73.20%,99.72%,95.59%,99.20%,76.17%,1.01%,3.01%,1.01%,3.13%
19,18-<19 mo,68,1,8,98.80%,72.46%,99.73%,95.34%,99.01%,75.50%,1.18%,3.07%,1.19%,3.20%
20,19-<20 mo,59,0,9,100.00%,72.46%,99.71%,95.06%,100.00%,75.50%,0.00%,3.07%,0.00%,3.20%
21,20-<21 mo,50,2,14,95.91%,69.18%,99.72%,94.80%,95.94%,72.28%,2.67%,3.67%,2.67%,3.82%
22,21-<22 mo,34,1,10,97.43%,67.62%,99.73%,94.55%,97.63%,71.01%,2.50%,3.92%,2.51%,4.12%
23,22-<23 mo,23,0,14,100.00%,67.62%,99.73%,94.30%,100.00%,71.01%,0.00%,3.92%,0.00%,4.12%
24,23-<24 mo,9,0,9,+,+,99.63%,93.96%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Other Urinary Organs/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,282,19,17,93.38%,93.38%,99.76%,99.76%,93.61%,93.61%,1.59%,1.59%,1.59%,1.59%
2,1-<2 mo,246,17,12,93.62%,87.47%,99.76%,99.51%,93.84%,87.88%,1.57%,2.09%,1.58%,2.10%
3,2-<3 mo,217,12,12,95.19%,83.41%,99.79%,99.30%,95.38%,83.94%,1.34%,2.30%,1.34%,2.31%
4,3-<4 mo,193,10,5,95.50%,79.86%,99.79%,99.10%,95.68%,80.50%,1.38%,2.45%,1.38%,2.47%
5,4-<5 mo,178,9,5,95.60%,76.53%,99.80%,98.89%,95.78%,77.27%,1.42%,2.58%,1.43%,2.61%
6,5-<6 mo,164,6,8,96.38%,73.59%,99.80%,98.70%,96.43%,74.39%,1.48%,2.79%,1.48%,2.82%
7,6-<7 mo,150,4,9,97.68%,72.06%,99.80%,98.51%,97.83%,73.03%,1.13%,2.82%,1.13%,2.87%
8,7-<8 mo,137,1,7,99.35%,71.65%,99.80%,98.31%,99.50%,72.70%,0.65%,2.84%,0.65%,2.88%
9,8-<9 mo,129,2,6,98.59%,70.79%,99.80%,98.12%,98.74%,71.90%,0.98%,2.86%,0.99%,2.91%
10,9-<10 mo,121,2,9,98.45%,69.86%,99.80%,97.93%,98.60%,71.04%,1.08%,2.89%,1.08%,2.95%
11,10-<11 mo,110,3,10,97.55%,68.37%,99.80%,97.73%,97.73%,69.70%,1.40%,2.94%,1.40%,3.01%
12,11-<12 mo,97,2,10,97.18%,66.02%,99.79%,97.53%,97.22%,67.43%,2.12%,3.39%,2.12%,3.46%
13,12-<13 mo,85,2,8,97.67%,64.74%,99.76%,97.30%,97.84%,66.28%,1.61%,3.45%,1.61%,3.53%
14,13-<14 mo,75,4,10,94.90%,61.92%,99.76%,97.07%,95.11%,63.49%,2.45%,3.57%,2.46%,3.67%
15,14-<15 mo,61,1,7,98.69%,61.08%,99.77%,96.85%,98.72%,62.66%,1.28%,3.63%,1.28%,3.73%
16,15-<16 mo,53,2,3,97.10%,59.32%,99.77%,96.63%,97.13%,60.89%,1.94%,3.73%,1.95%,3.84%
17,16-<17 mo,48,3,8,92.04%,54.30%,99.78%,96.42%,92.21%,56.03%,4.45%,4.62%,4.46%,4.75%
18,17-<18 mo,37,1,6,97.96%,53.19%,99.77%,96.21%,97.99%,54.93%,1.97%,4.68%,1.97%,4.81%
19,18-<19 mo,30,1,6,96.50%,51.69%,99.77%,95.99%,96.67%,53.49%,3.36%,4.80%,3.37%,4.96%
20,19-<20 mo,23,1,4,95.14%,49.79%,99.78%,95.78%,95.29%,51.50%,4.58%,4.98%,4.60%,5.17%
21,20-<21 mo,18,0,4,100.00%,49.79%,99.79%,95.59%,100.00%,51.50%,0.00%,4.98%,0.00%,5.17%
22,21-<22 mo,14,0,4,100.00%,49.79%,99.80%,95.40%,100.00%,51.50%,0.00%,4.98%,0.00%,5.17%
23,22-<23 mo,10,0,6,+,+,99.81%,95.23%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 19.8875 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Eye and Orbit/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,753,1,35,99.90%,99.90%,99.78%,99.78%,99.91%,99.91%,0.10%,0.10%,0.10%,0.10%
2,1-<2 mo,717,5,39,99.25%,99.15%,99.78%,99.56%,99.46%,99.42%,0.34%,0.35%,0.34%,0.35%
3,2-<3 mo,673,2,46,99.68%,98.83%,99.78%,99.34%,99.87%,99.33%,0.24%,0.42%,0.24%,0.43%
4,3-<4 mo,625,7,33,98.66%,97.50%,99.78%,99.12%,98.88%,98.37%,0.51%,0.66%,0.52%,0.67%
5,4-<5 mo,585,6,27,98.56%,96.10%,99.78%,98.90%,98.73%,97.12%,0.58%,0.85%,0.58%,0.87%
6,5-<6 mo,552,2,29,99.48%,95.62%,99.79%,98.69%,99.65%,96.79%,0.36%,0.91%,0.37%,0.93%
7,6-<7 mo,521,3,33,99.53%,95.15%,99.79%,98.49%,99.57%,96.44%,0.28%,0.95%,0.28%,0.97%
8,7-<8 mo,485,1,36,99.79%,94.95%,99.79%,98.28%,99.82%,96.26%,0.21%,0.97%,0.21%,0.99%
9,8-<9 mo,448,0,33,100.00%,94.95%,99.79%,98.08%,100.00%,96.26%,0.00%,0.97%,0.00%,0.99%
10,9-<10 mo,415,3,27,99.05%,94.06%,99.79%,97.87%,99.25%,96.05%,0.55%,1.09%,0.55%,1.12%
11,10-<11 mo,385,3,34,98.95%,93.09%,99.79%,97.66%,99.14%,95.24%,0.61%,1.21%,0.61%,1.25%
12,11-<12 mo,348,1,18,99.80%,92.89%,99.79%,97.47%,99.81%,95.10%,0.20%,1.22%,0.20%,1.27%
13,12-<13 mo,329,3,25,98.77%,91.78%,99.77%,97.25%,98.98%,94.32%,0.71%,1.36%,0.71%,1.42%
14,13-<14 mo,301,1,34,99.77%,91.55%,99.77%,97.03%,99.78%,94.12%,0.23%,1.38%,0.23%,1.44%
15,14-<15 mo,266,3,27,98.47%,90.19%,99.77%,96.81%,98.68%,93.09%,0.88%,1.56%,0.89%,1.64%
16,15-<16 mo,236,0,27,100.00%,90.19%,99.77%,96.59%,100.00%,93.09%,0.00%,1.56%,0.00%,1.64%
17,16-<17 mo,209,0,21,100.00%,90.19%,99.77%,96.37%,100.00%,93.09%,0.00%,1.56%,0.00%,1.64%
18,17-<18 mo,188,2,26,98.83%,89.15%,99.77%,96.15%,99.03%,92.55%,0.86%,1.72%,0.86%,1.82%
19,18-<19 mo,160,0,18,100.00%,89.15%,99.77%,95.94%,100.00%,92.55%,0.00%,1.72%,0.00%,1.82%
20,19-<20 mo,142,2,30,97.76%,87.26%,99.76%,95.72%,97.94%,90.84%,1.55%,2.10%,1.55%,2.26%
21,20-<21 mo,110,2,27,97.47%,85.13%,99.76%,95.49%,97.69%,88.94%,1.79%,2.52%,1.80%,2.71%
22,21-<22 mo,81,0,25,100.00%,85.13%,99.76%,95.27%,100.00%,88.94%,0.00%,2.52%,0.00%,2.71%
23,22-<23 mo,56,0,29,100.00%,85.13%,99.74%,95.03%,100.00%,88.94%,0.00%,2.52%,0.00%,2.71%
24,23-<24 mo,27,0,27,+,+,99.71%,94.77%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Brain and Other Nervous System/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"6,879",372,312,92.51%,92.51%,99.80%,99.80%,92.69%,92.69%,0.38%,0.38%,0.38%,0.38%
2,1-<2 mo,"6,195",338,262,92.00%,85.37%,99.81%,99.61%,92.17%,85.68%,0.43%,0.51%,0.43%,0.51%
3,2-<3 mo,"5,595",297,263,92.08%,79.06%,99.82%,99.43%,92.24%,79.46%,0.47%,0.58%,0.47%,0.58%
4,3-<4 mo,"5,035",233,243,92.74%,73.88%,99.83%,99.26%,92.90%,74.35%,0.49%,0.62%,0.49%,0.62%
5,4-<5 mo,"4,559",205,242,93.01%,69.30%,99.83%,99.10%,93.16%,69.82%,0.52%,0.65%,0.52%,0.65%
6,5-<6 mo,"4,112",155,199,93.92%,65.66%,99.84%,98.93%,94.07%,66.23%,0.53%,0.66%,0.53%,0.67%
7,6-<7 mo,"3,758",138,217,94.46%,62.49%,99.84%,98.77%,94.61%,63.10%,0.54%,0.68%,0.54%,0.69%
8,7-<8 mo,"3,403",115,209,94.47%,59.58%,99.84%,98.62%,94.61%,60.22%,0.58%,0.69%,0.58%,0.70%
9,8-<9 mo,"3,079",116,215,94.00%,56.58%,99.84%,98.46%,94.15%,57.24%,0.64%,0.70%,0.64%,0.71%
10,9-<10 mo,"2,748",74,183,95.45%,54.49%,99.84%,98.31%,95.60%,55.18%,0.62%,0.71%,0.62%,0.72%
11,10-<11 mo,"2,491",106,170,93.42%,51.47%,99.84%,98.15%,93.56%,52.16%,0.76%,0.72%,0.77%,0.74%
12,11-<12 mo,"2,215",87,175,94.17%,48.92%,99.84%,98.00%,94.32%,49.62%,0.79%,0.73%,0.79%,0.75%
13,12-<13 mo,"1,953",65,153,94.70%,46.78%,99.82%,97.82%,94.87%,47.50%,0.82%,0.74%,0.83%,0.76%
14,13-<14 mo,"1,735",59,159,93.95%,44.64%,99.82%,97.65%,94.12%,45.36%,0.99%,0.75%,0.99%,0.77%
15,14-<15 mo,"1,517",51,167,93.42%,42.51%,99.82%,97.48%,93.58%,43.22%,1.13%,0.75%,1.13%,0.78%
16,15-<16 mo,"1,299",44,136,93.95%,40.60%,99.83%,97.31%,94.11%,41.30%,1.17%,0.76%,1.18%,0.79%
17,16-<17 mo,"1,119",40,155,93.94%,38.75%,99.83%,97.14%,94.10%,39.44%,1.30%,0.78%,1.31%,0.80%
18,17-<18 mo,924,37,140,93.59%,36.72%,99.83%,96.98%,93.76%,37.40%,1.43%,0.80%,1.43%,0.83%
19,18-<19 mo,747,14,133,96.44%,35.77%,99.83%,96.82%,96.60%,36.46%,1.34%,0.81%,1.34%,0.84%
20,19-<20 mo,600,19,106,92.53%,34.10%,99.83%,96.65%,92.69%,34.76%,2.24%,0.85%,2.25%,0.88%
21,20-<21 mo,475,24,110,88.50%,31.57%,99.81%,96.47%,88.65%,32.18%,3.07%,0.90%,3.08%,0.94%
22,21-<22 mo,341,3,117,98.94%,31.20%,99.83%,96.31%,98.98%,31.82%,0.65%,0.92%,0.66%,0.96%
23,22-<23 mo,221,3,112,98.07%,30.55%,99.82%,96.14%,98.10%,31.17%,1.19%,0.97%,1.19%,1.01%
24,23-<24 mo,106,2,104,+,+,99.83%,95.98%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 11.5752 intervals; Relative = 11.8503 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Brain/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"6,609",364,300,92.45%,92.45%,99.80%,99.80%,92.63%,92.63%,0.39%,0.39%,0.39%,0.39%
2,1-<2 mo,"5,945",335,257,91.83%,85.16%,99.81%,99.61%,92.00%,85.46%,0.44%,0.52%,0.44%,0.52%
3,2-<3 mo,"5,353",293,254,91.91%,78.73%,99.82%,99.43%,92.07%,79.12%,0.48%,0.59%,0.48%,0.59%
4,3-<4 mo,"4,806",231,228,92.53%,73.42%,99.83%,99.26%,92.68%,73.89%,0.51%,0.63%,0.51%,0.64%
5,4-<5 mo,"4,347",204,232,92.75%,68.72%,99.83%,99.10%,92.90%,69.23%,0.54%,0.66%,0.54%,0.67%
6,5-<6 mo,"3,911",155,190,93.67%,64.96%,99.83%,98.93%,93.82%,65.52%,0.55%,0.67%,0.55%,0.68%
7,6-<7 mo,"3,566",137,204,94.21%,61.69%,99.84%,98.77%,94.36%,62.29%,0.56%,0.69%,0.56%,0.70%
8,7-<8 mo,"3,225",113,200,94.30%,58.75%,99.84%,98.61%,94.45%,59.38%,0.60%,0.70%,0.60%,0.71%
9,8-<9 mo,"2,912",115,201,93.73%,55.68%,99.84%,98.46%,93.87%,56.32%,0.67%,0.71%,0.68%,0.72%
10,9-<10 mo,"2,596",72,167,95.38%,53.60%,99.84%,98.30%,95.53%,54.27%,0.64%,0.71%,0.64%,0.73%
11,10-<11 mo,"2,357",106,162,93.08%,50.48%,99.84%,98.15%,93.22%,51.15%,0.80%,0.73%,0.80%,0.74%
12,11-<12 mo,"2,089",83,164,94.22%,47.98%,99.84%,97.99%,94.37%,48.67%,0.80%,0.74%,0.80%,0.76%
13,12-<13 mo,"1,842",64,141,94.46%,45.81%,99.82%,97.82%,94.63%,46.51%,0.86%,0.74%,0.86%,0.77%
14,13-<14 mo,"1,637",59,144,93.69%,43.63%,99.82%,97.64%,93.85%,44.32%,1.03%,0.75%,1.03%,0.77%
15,14-<15 mo,"1,434",50,155,93.17%,41.49%,99.82%,97.47%,93.33%,42.18%,1.17%,0.76%,1.17%,0.78%
16,15-<16 mo,"1,229",44,124,93.69%,39.55%,99.83%,97.31%,93.84%,40.22%,1.22%,0.77%,1.22%,0.79%
17,16-<17 mo,"1,061",39,149,93.69%,37.70%,99.83%,97.15%,93.85%,38.37%,1.36%,0.78%,1.36%,0.80%
18,17-<18 mo,873,37,132,93.28%,35.64%,99.83%,96.98%,93.44%,36.29%,1.49%,0.80%,1.50%,0.83%
19,18-<19 mo,704,12,129,96.37%,34.76%,99.83%,96.82%,96.53%,35.42%,1.41%,0.81%,1.41%,0.84%
20,19-<20 mo,563,19,100,92.03%,33.06%,99.83%,96.66%,92.18%,33.69%,2.38%,0.85%,2.39%,0.88%
21,20-<21 mo,444,24,101,87.50%,30.48%,99.82%,96.49%,87.65%,31.04%,3.33%,0.90%,3.34%,0.94%
22,21-<22 mo,319,3,112,98.87%,30.09%,99.85%,96.35%,98.91%,30.67%,0.69%,0.92%,0.70%,0.95%
23,22-<23 mo,204,3,105,97.88%,29.41%,99.84%,96.20%,97.91%,29.99%,1.30%,0.98%,1.30%,1.01%
24,23-<24 mo,96,2,94,+,+,99.87%,96.07%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 11.1919 intervals; Relative = 11.4641 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Cranial Nerves Other Nervous System/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,270,8,12,94.51%,94.51%,99.80%,99.80%,94.69%,94.69%,2.04%,2.04%,2.05%,2.05%
2,1-<2 mo,250,3,5,97.33%,92.07%,99.83%,99.62%,97.49%,92.40%,1.57%,2.41%,1.58%,2.42%
3,2-<3 mo,242,4,9,97.19%,89.63%,99.83%,99.46%,97.32%,90.06%,1.69%,2.70%,1.70%,2.73%
4,3-<4 mo,229,2,15,98.87%,88.54%,99.84%,99.30%,98.90%,89.02%,0.78%,2.80%,0.78%,2.83%
5,4-<5 mo,212,1,10,99.79%,88.34%,99.85%,99.15%,99.79%,88.83%,0.21%,2.81%,0.21%,2.83%
6,5-<6 mo,201,0,9,100.00%,88.34%,99.85%,99.00%,100.00%,88.83%,0.00%,2.81%,0.00%,2.83%
7,6-<7 mo,192,1,13,99.76%,88.10%,99.85%,98.85%,99.77%,88.61%,0.24%,2.82%,0.24%,2.84%
8,7-<8 mo,178,2,9,97.56%,86.05%,99.85%,98.70%,97.70%,87.11%,1.81%,3.10%,1.82%,3.16%
9,8-<9 mo,167,1,14,99.14%,85.28%,99.85%,98.55%,99.16%,86.35%,0.85%,3.18%,0.85%,3.24%
10,9-<10 mo,152,2,16,96.67%,82.61%,99.85%,98.40%,96.81%,83.84%,2.49%,3.60%,2.50%,3.69%
11,10-<11 mo,134,0,8,100.00%,82.61%,99.84%,98.24%,100.00%,83.84%,0.00%,3.60%,0.00%,3.69%
12,11-<12 mo,126,4,11,93.47%,77.68%,99.84%,98.09%,93.58%,78.97%,3.87%,4.30%,3.88%,4.43%
13,12-<13 mo,111,1,12,99.61%,77.32%,99.82%,97.92%,99.62%,78.61%,0.38%,4.31%,0.38%,4.45%
14,13-<14 mo,98,0,15,100.00%,77.32%,99.79%,97.72%,100.00%,78.61%,0.00%,4.31%,0.00%,4.45%
15,14-<15 mo,83,1,12,99.48%,76.84%,99.79%,97.51%,99.49%,78.15%,0.52%,4.34%,0.52%,4.47%
16,15-<16 mo,70,0,12,100.00%,76.84%,99.79%,97.31%,100.00%,78.15%,0.00%,4.34%,0.00%,4.47%
17,16-<17 mo,58,1,6,99.28%,76.19%,99.79%,97.11%,99.29%,77.51%,0.71%,4.38%,0.71%,4.51%
18,17-<18 mo,51,0,8,100.00%,76.19%,99.77%,96.89%,100.00%,77.51%,0.00%,4.38%,0.00%,4.51%
19,18-<19 mo,43,2,4,98.18%,74.58%,99.74%,96.64%,98.19%,75.90%,1.24%,4.50%,1.24%,4.63%
20,19-<20 mo,37,0,6,100.00%,74.58%,99.74%,96.40%,100.00%,75.90%,0.00%,4.50%,0.00%,4.63%
21,20-<21 mo,31,0,9,100.00%,74.58%,99.75%,96.16%,100.00%,75.90%,0.00%,4.50%,0.00%,4.63%
22,21-<22 mo,22,0,5,100.00%,74.58%,99.75%,95.93%,100.00%,75.90%,0.00%,4.50%,0.00%,4.63%
23,22-<23 mo,17,0,7,100.00%,74.58%,99.70%,95.65%,100.00%,75.90%,0.00%,4.50%,0.00%,4.63%
24,23-<24 mo,10,0,10,+,+,99.61%,95.29%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Endocrine System/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"17,058",84,782,98.65%,98.65%,99.84%,99.84%,98.80%,98.80%,0.16%,0.16%,0.16%,0.16%
2,1-<2 mo,"16,192",68,753,98.99%,97.65%,99.85%,99.69%,99.14%,97.96%,0.14%,0.21%,0.14%,0.21%
3,2-<3 mo,"15,371",42,849,99.30%,96.98%,99.85%,99.53%,99.45%,97.43%,0.13%,0.24%,0.13%,0.24%
4,3-<4 mo,"14,480",28,735,99.49%,96.49%,99.85%,99.38%,99.64%,97.08%,0.11%,0.26%,0.11%,0.26%
5,4-<5 mo,"13,717",26,811,99.59%,96.11%,99.85%,99.23%,99.74%,96.83%,0.10%,0.28%,0.10%,0.28%
6,5-<6 mo,"12,880",29,706,99.45%,95.59%,99.85%,99.09%,99.60%,96.45%,0.12%,0.30%,0.12%,0.30%
7,6-<7 mo,"12,145",20,759,99.66%,95.27%,99.85%,98.94%,99.81%,96.27%,0.09%,0.31%,0.09%,0.31%
8,7-<8 mo,"11,366",17,672,99.65%,94.94%,99.85%,98.79%,99.79%,96.08%,0.10%,0.32%,0.11%,0.33%
9,8-<9 mo,"10,677",17,690,99.62%,94.60%,99.85%,98.65%,99.77%,95.86%,0.11%,0.33%,0.11%,0.34%
10,9-<10 mo,"9,970",12,714,99.73%,94.34%,99.85%,98.50%,99.87%,95.74%,0.10%,0.34%,0.10%,0.35%
11,10-<11 mo,"9,244",21,696,99.51%,93.89%,99.85%,98.36%,99.65%,95.42%,0.14%,0.36%,0.14%,0.37%
12,11-<12 mo,"8,527",10,651,99.73%,93.65%,99.85%,98.21%,99.86%,95.29%,0.11%,0.37%,0.11%,0.39%
13,12-<13 mo,"7,866",9,667,99.76%,93.43%,99.83%,98.05%,99.90%,95.21%,0.09%,0.38%,0.09%,0.39%
14,13-<14 mo,"7,190",6,733,99.84%,93.29%,99.83%,97.89%,99.99%,95.20%,0.09%,0.39%,0.09%,0.39%
15,14-<15 mo,"6,451",9,682,99.59%,92.93%,99.83%,97.73%,99.76%,95.03%,0.15%,0.41%,0.15%,0.42%
16,15-<16 mo,"5,760",3,602,99.96%,92.88%,99.83%,97.57%,99.99%,95.02%,0.03%,0.41%,0.03%,0.43%
17,16-<17 mo,"5,155",7,722,99.72%,92.63%,99.83%,97.41%,99.86%,94.99%,0.14%,0.43%,0.14%,0.43%
18,17-<18 mo,"4,426",4,674,99.75%,92.41%,99.84%,97.25%,99.92%,94.94%,0.15%,0.44%,0.15%,0.46%
19,18-<19 mo,"3,748",2,629,99.87%,92.30%,99.84%,97.09%,99.99%,94.93%,0.12%,0.45%,0.12%,0.46%
20,19-<20 mo,"3,117",2,634,99.84%,92.16%,99.84%,96.94%,99.98%,94.92%,0.15%,0.47%,0.15%,0.49%
21,20-<21 mo,"2,481",0,655,100.00%,92.16%,99.85%,96.79%,100.00%,94.92%,0.00%,0.47%,0.00%,0.49%
22,21-<22 mo,"1,826",2,581,99.71%,91.90%,99.85%,96.65%,99.84%,94.88%,0.26%,0.52%,0.27%,0.55%
23,22-<23 mo,"1,243",1,655,99.57%,91.53%,99.85%,96.50%,99.69%,94.60%,0.43%,0.63%,0.43%,0.67%
24,23-<24 mo,587,1,586,+,+,99.85%,96.36%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Thyroid/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"16,284",69,750,98.72%,98.72%,99.84%,99.84%,98.87%,98.87%,0.17%,0.17%,0.17%,0.17%
2,1-<2 mo,"15,465",46,721,99.13%,97.87%,99.85%,99.69%,99.28%,98.16%,0.14%,0.22%,0.14%,0.22%
3,2-<3 mo,"14,698",31,820,99.38%,97.27%,99.85%,99.54%,99.53%,97.71%,0.12%,0.24%,0.12%,0.25%
4,3-<4 mo,"13,847",18,703,99.66%,96.95%,99.85%,99.39%,99.81%,97.53%,0.09%,0.26%,0.09%,0.26%
5,4-<5 mo,"13,126",17,785,99.71%,96.67%,99.85%,99.25%,99.86%,97.39%,0.08%,0.27%,0.08%,0.27%
6,5-<6 mo,"12,324",17,664,99.66%,96.35%,99.85%,99.10%,99.81%,97.21%,0.10%,0.28%,0.10%,0.29%
